1324545                 ypramod     batch    Class2D/job092/r 144559    10    100       --   12:00:00 C       -- 
1324599                 jmchung     batch    cisTEM            76105     1      1       --   08:00:00 C       -- 
1324600                 jmchung     batch    cisTEM            76113     1      1       --   08:00:00 C       -- 
1324601                 jmchung     batch    cisTEM            76129     1      1       --   08:00:00 C       -- 
1324602                 jmchung     batch    cisTEM            76147     1      1       --   08:00:00 C       -- 
1324603                 jmchung     batch    cisTEM            76185     1      1       --   08:00:00 C       -- 
1324604                 jmchung     batch    cisTEM            76212     1      1       --   08:00:00 C       -- 
1324605                 jmchung     batch    cisTEM            76241     1      1       --   08:00:00 C       -- 
1324606                 jmchung     batch    cisTEM            76268     1      1       --   08:00:00 C       -- 
1324607                 jmchung     batch    cisTEM            76296     1      1       --   08:00:00 C       -- 
1324608                 jmchung     batch    cisTEM            76324     1      1       --   08:00:00 C       -- 
1324609                 jmchung     batch    cisTEM            76353     1      1       --   08:00:00 C       -- 
1324610                 jmchung     batch    cisTEM            76383     1      1       --   08:00:00 C       -- 
1324611                 jmchung     batch    cisTEM            76414     1      1       --   08:00:00 C       -- 
1324612                 jmchung     batch    cisTEM            76442     1      1       --   08:00:00 C       -- 
1324613                 jmchung     batch    cisTEM            76470     1      1       --   08:00:00 C       -- 
1324614                 jmchung     batch    cisTEM            76498     1      1       --   08:00:00 C       -- 
1324615                 jmchung     batch    cisTEM            76526     1      1       --   08:00:00 C       -- 
1324616                 jmchung     batch    cisTEM            76554     1      1       --   08:00:00 C       -- 
1324617                 jmchung     batch    cisTEM            76582     1      1       --   08:00:00 C       -- 
1324618                 jmchung     batch    cisTEM            76612     1      1       --   08:00:00 C       -- 
1324619                 jmchung     batch    cisTEM            14134     1      1       --   08:00:00 C       -- 
1324620                 jmchung     batch    cisTEM            14151     1      1       --   08:00:00 C       -- 
1324621                 jmchung     batch    cisTEM            14160     1      1       --   08:00:00 C       -- 
1324622                 jmchung     batch    cisTEM            14187     1      1       --   08:00:00 C       -- 
1324623                 jmchung     batch    cisTEM            14214     1      1       --   08:00:00 C       -- 
1324624                 jmchung     batch    cisTEM            14240     1      1       --   08:00:00 C       -- 
1324625                 jmchung     batch    cisTEM            14269     1      1       --   08:00:00 C       -- 
1324626                 jmchung     batch    cisTEM            14298     1      1       --   08:00:00 C       -- 
1324627                 jmchung     batch    cisTEM            14324     1      1       --   08:00:00 C       -- 
